		ndcg	pak	apk	map
Ovary	bm25	0.0	0.0	0.0	0.0
	vsm	0.0	0.0	0.0	0.0
	class-match-measure	0.0	0.0	0.0	0.0
	tf_idf	0.0	0.0	0.0	0.0
	boolean	0.0	0.0	0.0	0.0
	zooma	0.0	0.0	0.0	0.45
	bioportal	0.8304198973631919	0.6666666865348816	0.6666666666666666	0.8333333333333333
	solr	0.6843515475204855	0.6666666865348816	0.6666666666666666	0.45
	ols	0.9747429528567878	1.0	1.0	1.0
	semantic-similarity	0.0	0.0	0.0	0.0
	pagerank	0.0	0.0	0.0	0.0
	
Carcinoma	bm25	0.0	0.0	0.0	0.0
	vsm	0.0	0.0	0.0	0.0
	class-match-measure	0.0	0.0	0.0	0.0
	tf_idf	0.0	0.0	0.0	0.0
	boolean	0.0	0.0	0.0	0.0
	zooma	0.3391602052736162	0.3333333432674408	0.3333333333333333	0.45
	bioportal	0.8687949224876582	1.0	1.0	0.8333333333333333
	solr	0.9896062251871525	1.0	1.0	0.45
	ols	1.0	1.0	1.0	1.0
	semantic-similarity	0.0	0.0	0.0	0.0
	pagerank	0.0	0.0	0.0	0.0
	
Ovarian Mucinous Adenocarcinoma	bm25	0.0	0.0	0.0	0.0
	vsm	0.0	0.0	0.0	0.0
	class-match-measure	0.0	0.0	0.0	0.0
	tf_idf	0.0	0.0	0.0	0.0
	boolean	0.0	0.0	0.0	0.0
	zooma	0.46927872602275655	0.3333333432674408	0.3333333333333333	0.45
	bioportal	1.0	1.0	1.0	0.8333333333333333
	solr	0.5307212739772434	0.6666666865348816	0.38888888888888884	0.45
	ols	1.0	1.0	1.0	1.0
	semantic-similarity	0.0	0.0	0.0	0.0
	pagerank	0.0	0.0	0.0	0.0
	
Ovarian Choriocarcinoma	bm25	0.0	0.0	0.0	0.0
	vsm	0.0	0.0	0.0	0.0
	class-match-measure	0.0	0.0	0.0	0.0
	tf_idf	0.0	0.0	0.0	0.0
	boolean	0.0	0.0	0.0	0.0
	zooma	1.0	1.0	1.0	0.45
	bioportal	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.8333333333333333
	solr	0.5307212739772434	0.6666666865348816	0.38888888888888884	0.45
	ols	1.0	1.0	1.0	1.0
	semantic-similarity	0.0	0.0	0.0	0.0
	pagerank	0.0	0.0	0.0	0.0
	
Ovarian Embryonal Carcinoma	bm25	0.0	0.0	0.0	0.0
	vsm	0.0	0.0	0.0	0.0
	class-match-measure	0.0	0.0	0.0	0.0
	tf_idf	0.0	0.0	0.0	0.0
	boolean	0.0	0.0	0.0	0.0
	zooma	1.0	1.0	1.0	0.45
	bioportal	0.8179809735263115	0.3333333432674408	0.3333333333333333	0.8333333333333333
	solr	0.3692678014667499	0.0	0.0	0.45
	ols	1.0	1.0	1.0	1.0
	semantic-similarity	0.0	0.0	0.0	0.0
	pagerank	0.0	0.0	0.0	0.0
	
Ovarian Teratoma	bm25	0.0	0.0	0.0	0.0
	vsm	0.0	0.0	0.0	0.0
	class-match-measure	0.0	0.0	0.0	0.0
	tf_idf	0.0	0.0	0.0	0.0
	boolean	0.0	0.0	0.0	0.0
	zooma	0.46927872602275655	0.3333333432674408	0.3333333333333333	0.45
	bioportal	1.0	1.0	1.0	0.8333333333333333
	solr	0.5307212739772434	0.6666666865348816	0.38888888888888884	0.45
	ols	1.0	1.0	1.0	1.0
	semantic-similarity	0.0	0.0	0.0	0.0
	pagerank	0.0	0.0	0.0	0.0
	
Ovarian Cystadenoma	bm25	0.0	0.0	0.0	0.0
	vsm	0.0	0.0	0.0	0.0
	class-match-measure	0.0	0.0	0.0	0.0
	tf_idf	0.0	0.0	0.0	0.0
	boolean	0.0	0.0	0.0	0.0
	zooma	1.0	1.0	1.0	0.45
	bioportal	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.8333333333333333
	solr	0.2960819109658653	0.3333333432674408	0.16666666666666666	0.45
	ols	1.0	1.0	1.0	1.0
	semantic-similarity	0.0	0.0	0.0	0.0
	pagerank	0.0	0.0	0.0	0.0
	
Paclitaxel	bm25	0.0	0.0	0.0	0.0
	vsm	0.0	0.0	0.0	0.0
	class-match-measure	0.0	0.0	0.0	0.0
	tf_idf	0.0	0.0	0.0	0.0
	boolean	0.0	0.0	0.0	0.0
	zooma	0.6131471927654585	0.3333333432674408	0.5	0.45
	bioportal	1.0	0.6666666865348816	1.0	0.8333333333333333
	solr	0.38685280723454163	0.3333333432674408	0.25	0.45
	ols	1.0	0.6666666865348816	1.0	1.0
	semantic-similarity	0.0	0.0	0.0	0.0
	pagerank	0.0	0.0	0.0	0.0
	
Carboplatin	bm25	0.0	0.0	0.0	0.0
	vsm	0.0	0.0	0.0	0.0
	class-match-measure	0.0	0.0	0.0	0.0
	tf_idf	0.0	0.0	0.0	0.0
	boolean	0.0	0.0	0.0	0.0
	zooma	0.0	0.0	0.0	0.45
	bioportal	1.0	0.6666666865348816	1.0	0.8333333333333333
	solr	0.38685280723454163	0.3333333432674408	0.25	0.45
	ols	1.0	0.6666666865348816	1.0	1.0
	semantic-similarity	0.0	0.0	0.0	0.0
	pagerank	0.0	0.0	0.0	0.0
	
MYH7	bm25	0.0	0.0	0.0	0.0
	vsm	0.0	0.0	0.0	0.0
	class-match-measure	0.0	0.0	0.0	0.0
	tf_idf	0.0	0.0	0.0	0.0
	boolean	0.0	0.0	0.0	0.0
	zooma	0.0	0.0	0.0	0.45
	bioportal	1.0	0.3333333432674408	1.0	0.8333333333333333
	solr	1.0	0.3333333432674408	1.0	0.45
	ols	1.0	0.3333333432674408	1.0	1.0
	semantic-similarity	0.0	0.0	0.0	0.0
	pagerank	0.0	0.0	0.0	0.0
	
