		ndcg	pak	apk	map	no gt precision	no gt recall
Ovary	bm25	0.9512312000626861	0.800000011920929	0.71	0.8710000000000001	0.7538461538461538	0.6621621621621622	
	vsm	0.7816510974258781	0.800000011920929	0.5433333333333333	0.8543333333333333	0.7538461538461538	0.6621621621621622	
	class-match-measure	0.7816510974258781	0.800000011920929	0.5433333333333333	0.8543333333333333	0.7538461538461538	0.6621621621621622	
	tf_idf	1.0	1.0	1.0	0.9	0.7230769230769232	0.6351351351351352	
	boolean	0.9512312000626861	0.800000011920929	0.71	0.8710000000000001	0.7538461538461538	0.6621621621621622	
	zooma	0.0	0.0	0.0	0.44222222222222224	0.7692307692307693	0.13513513513513514	
	bioportal	0.9512312000626861	0.800000011920929	0.71	0.951	0.7538461538461538	0.6621621621621622	
	solr	0.8304198973631919	0.800000011920929	0.71	0.8154444444444444	0.7384615384615385	0.6486486486486487	
	ols	0.9896062251871525	0.800000011920929	0.8	0.9800000000000001	0.7384615384615385	0.6486486486486487	
	semantic-similarity	0.9747429528567878	0.800000011920929	0.76	0.876	0.7538461538461538	0.6621621621621622	
	pagerank	1.0	1.0	1.0	0.9	0.7230769230769232	0.6351351351351352	
	
Carcinoma	bm25	1.0	1.0	1.0	0.8710000000000001	0.8461538461538461	0.7432432432432434	
	vsm	1.0	1.0	1.0	0.8543333333333333	0.8461538461538461	0.7432432432432434	
	class-match-measure	1.0	1.0	1.0	0.8543333333333333	0.8461538461538461	0.7432432432432434	
	tf_idf	1.0	1.0	1.0	0.9	0.8461538461538461	0.7432432432432434	
	boolean	1.0	1.0	1.0	0.8710000000000001	0.8461538461538461	0.7432432432432434	
	zooma	0.3391602052736162	0.20000000298023224	0.2	0.44222222222222224	0.9230769230769231	0.16216216216216223	
	bioportal	0.8687949224876582	0.800000011920929	0.8	0.951	0.7230769230769232	0.6351351351351354	
	solr	1.0	1.0	1.0	0.8154444444444444	0.8461538461538461	0.7432432432432434	
	ols	1.0	1.0	1.0	0.9800000000000001	0.8461538461538461	0.7432432432432434	
	semantic-similarity	1.0	1.0	1.0	0.876	0.8461538461538461	0.7432432432432434	
	pagerank	1.0	1.0	1.0	0.9	0.8461538461538461	0.7432432432432434	
	
Ovarian Mucinous Adenocarcinoma	bm25	1.0	1.0	1.0	0.8710000000000001	0.8717948717948718	0.6296296296296294	
	vsm	1.0	1.0	1.0	0.8543333333333333	0.8717948717948718	0.6296296296296294	
	class-match-measure	1.0	1.0	1.0	0.8543333333333333	0.8717948717948718	0.6296296296296294	
	tf_idf	1.0	1.0	1.0	0.9	0.8717948717948718	0.6296296296296294	
	boolean	1.0	1.0	1.0	0.8710000000000001	0.8717948717948718	0.6296296296296294	
	zooma	0.46927872602275655	0.3333333432674408	0.3333333333333333	0.44222222222222224	0.9230769230769231	0.22222222222222218	
	bioportal	1.0	1.0	1.0	0.951	0.8717948717948718	0.6296296296296294	
	solr	1.0	1.0	1.0	0.8154444444444444	0.8717948717948718	0.6296296296296294	
	ols	1.0	1.0	1.0	0.9800000000000001	0.8717948717948718	0.6296296296296294	
	semantic-similarity	1.0	1.0	1.0	0.876	0.8717948717948718	0.6296296296296294	
	pagerank	1.0	1.0	1.0	0.9	0.8717948717948718	0.6296296296296294	
	
Ovarian Choriocarcinoma	bm25	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.8710000000000001	0.9230769230769231	0.49999999999999983	
	vsm	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.8543333333333333	0.9230769230769231	0.49999999999999983	
	class-match-measure	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.8543333333333333	0.9230769230769231	0.49999999999999983	
	tf_idf	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.9	0.9230769230769231	0.49999999999999983	
	boolean	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.8710000000000001	0.9230769230769231	0.49999999999999983	
	zooma	1.0	1.0	1.0	0.44222222222222224	0.7179487179487181	0.5833333333333331	
	bioportal	1.0	1.0	1.0	0.951	0.7179487179487181	0.5833333333333331	
	solr	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.8154444444444444	0.9230769230769231	0.49999999999999983	
	ols	1.0	1.0	1.0	0.9800000000000001	0.7179487179487181	0.5833333333333331	
	semantic-similarity	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.876	0.9230769230769231	0.49999999999999983	
	pagerank	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.9	0.9230769230769231	0.49999999999999983	
	
Ovarian Embryonal Carcinoma	bm25	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.8710000000000001	0.8076923076923077	0.4468085106382977	
	vsm	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.8543333333333333	0.8076923076923077	0.4468085106382977	
	class-match-measure	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.8543333333333333	0.8076923076923077	0.4468085106382977	
	tf_idf	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.9	0.8076923076923077	0.4468085106382977	
	boolean	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.8710000000000001	0.8076923076923077	0.4468085106382977	
	zooma	0.9060254355346824	0.6666666865348816	0.5555555555555555	0.44222222222222224	0.4358974358974359	0.36170212765957427	
	bioportal	1.0	1.0	1.0	0.951	0.6666666666666666	0.5531914893617018	
	solr	0.6182885020492787	0.3333333432674408	0.1111111111111111	0.8154444444444444	0.38461538461538464	0.10638297872340421	
	ols	1.0	1.0	1.0	0.9800000000000001	0.6666666666666666	0.5531914893617018	
	semantic-similarity	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.876	0.8076923076923077	0.4468085106382977	
