		ndcg	pak	apk	map	no gt precision	no gt recall
Ovary	bm25	0.0	0.0	0.0	0.0	0.15384615384615385	0.04	
	vsm	0.0	0.0	0.0	0.1	0.23076923076923078	0.060000000000000005	
	class-match-measure	0.0	0.0	0.0	0.0	0.23076923076923078	0.060000000000000005	
	tf_idf	0.21398626473452756	0.20000000298023224	0.1	0.21000000000000002	0.46153846153846156	0.12000000000000001	
	boolean	0.0	0.0	0.0	0.0	0.16923076923076924	0.22	
	zooma	0.0	0.0	0.0	0.4866666666666667	0.38461538461538464	0.1	
	bioportal	0.9512312000626861	0.800000011920929	0.71	0.951	0.35384615384615387	0.46	
	solr	0.8304198973631919	0.800000011920929	0.71	0.8154444444444444	0.35384615384615387	0.46	
	ols	0.9896062251871525	0.800000011920929	0.8	0.9800000000000001	0.35384615384615387	0.46	
	semantic-similarity	0.0	0.0	0.0	0.0	0.38461538461538464	0.1	
	pagerank	0.21398626473452756	0.20000000298023224	0.1	0.21000000000000002	0.46153846153846156	0.12000000000000001	
	
Carcinoma	bm25	0.0	0.0	0.0	0.0	0.5384615384615384	0.14583333333333326	
	vsm	0.0	0.0	0.0	0.1	0.5384615384615384	0.14583333333333326	
	class-match-measure	0.0	0.0	0.0	0.0	0.38461538461538464	0.10416666666666663	
	tf_idf	0.0	0.0	0.0	0.21000000000000002	0.38461538461538464	0.10416666666666663	
	boolean	0.0	0.0	0.0	0.0	0.4871794871794872	0.3958333333333332	
	zooma	0.3391602052736162	0.20000000298023224	0.2	0.4866666666666667	0.46153846153846156	0.12499999999999996	
	bioportal	0.8687949224876582	0.800000011920929	0.8	0.951	0.4	0.5416666666666664	
	solr	1.0	1.0	1.0	0.8154444444444444	0.4461538461538462	0.6041666666666664	
	ols	1.0	1.0	1.0	0.9800000000000001	0.4461538461538462	0.6041666666666664	
	semantic-similarity	0.0	0.0	0.0	0.0	0.46153846153846156	0.12499999999999996	
	pagerank	0.0	0.0	0.0	0.21000000000000002	0.38461538461538464	0.10416666666666663	
	
Ovarian Mucinous Adenocarcinoma	bm25	0.0	0.0	0.0	0.0	0.38461538461538464	0.12195121951219508	
	vsm	0.0	0.0	0.0	0.1	0.15384615384615385	0.04878048780487803	
	class-match-measure	0.0	0.0	0.0	0.0	0.15384615384615385	0.04878048780487803	
	tf_idf	0.0	0.0	0.0	0.21000000000000002	0.23076923076923078	0.07317073170731705	
	boolean	0.0	0.0	0.0	0.0	0.46153846153846156	0.2926829268292682	
	zooma	0.46927872602275655	0.3333333432674408	0.3333333333333333	0.4866666666666667	0.46153846153846156	0.1463414634146341	
	bioportal	1.0	1.0	1.0	0.951	0.43589743589743596	0.41463414634146334	
	solr	1.0	1.0	1.0	0.8154444444444444	0.43589743589743596	0.41463414634146334	
	ols	1.0	1.0	1.0	0.9800000000000001	0.43589743589743596	0.41463414634146334	
	semantic-similarity	0.14804095548293264	0.0	0.0	0.0	0.46153846153846156	0.1463414634146341	
	pagerank	0.0	0.0	0.0	0.21000000000000002	0.23076923076923078	0.07317073170731705	
	
Ovarian Choriocarcinoma	bm25	0.0	0.0	0.0	0.0	0.46153846153846156	0.1428571428571428	
	vsm	0.0	0.0	0.0	0.1	0.15384615384615385	0.0476190476190476	
	class-match-measure	0.0	0.0	0.0	0.0	0.15384615384615385	0.0476190476190476	
	tf_idf	0.0	0.0	0.0	0.21000000000000002	0.23076923076923078	0.0714285714285714	
	boolean	0.0	0.0	0.0	0.0	0.5	0.30952380952380937	
	zooma	1.0	1.0	1.0	0.4866666666666667	0.4615384615384615	0.4285714285714284	
	bioportal	1.0	1.0	1.0	0.951	0.4615384615384615	0.4285714285714284	
	solr	0.7653606369886218	0.6666666865348816	0.6666666666666666	0.8154444444444444	0.46153846153846156	0.2857142857142856	
	ols	1.0	1.0	1.0	0.9800000000000001	0.4615384615384615	0.4285714285714284	
	semantic-similarity	0.0	0.0	0.0	0.0	0.5384615384615384	0.16666666666666657	
	pagerank	0.0	0.0	0.0	0.21000000000000002	0.23076923076923078	0.0714285714285714	
	
Ovarian Embryonal Carcinoma	bm25	0.0	0.0	0.0	0.0	0.38461538461538464	0.12195121951219508	
	vsm	0.0	0.0	0.0	0.1	0.15384615384615385	0.04878048780487803	
	class-match-measure	0.0	0.0	0.0	0.0	0.15384615384615385	0.04878048780487803	
	tf_idf	0.0	0.0	0.0	0.21000000000000002	0.23076923076923078	0.07317073170731705	
	boolean	0.0	0.0	0.0	0.0	0.46153846153846156	0.2926829268292682	
	zooma	1.0	1.0	1.0	0.4866666666666667	0.4358974358974359	0.4146341463414633	
	bioportal	1.0	1.0	1.0	0.951	0.4358974358974359	0.4146341463414633	
	solr	0.6182885020492787	0.3333333432674408	0.1111111111111111	0.8154444444444444	0.5384615384615384	0.1707317073170731	
	ols	1.0	1.0	1.0	0.9800000000000001	0.4358974358974359	0.4146341463414633	
	semantic-similarity	0.0	0.0	0.0	0.0	0.5384615384615384	0.1707317073170731	
	pagerank	0.0	0.0	0.0	0.21000000000000002	0.23076923076923078	0.07317073170731705	
	
Ovarian Teratoma	bm25	0.0	0.0	0.0	0.0	0.15384615384615385	0.04999999999999999	
	vsm	0.0	0.0	0.0	0.1	0.15384615384615385	0.04999999999999999	
	class-match-measure	0.0	0.0	0.0	0.0	0.38461538461538464	0.12499999999999996	
	tf_idf	0.0	0.0	0.0	0.21000000000000002	0.23076923076923078	0.07499999999999998	
	boolean	0.0	0.0	0.0	0.0	0.46153846153846156	0.14999999999999997	
	zooma	0.46927872602275655	0.3333333432674408	0.3333333333333333	0.4866666666666667	0.38461538461538464	0.12499999999999996	
	bioportal	1.0	1.0	1.0	0.951	0.4102564102564103	0.3999999999999999	
	solr	1.0	1.0	1.0	0.8154444444444444	0.4102564102564103	0.3999999999999999	
	ols	1.0	1.0	1.0	0.9800000000000001	0.4102564102564103	0.3999999999999999	
	semantic-similarity	0.0	0.0	0.0	0.0	0.46153846153846156	0.14999999999999997	
	pagerank	0.0	0.0	0.0	0.21000000000000002	0.23076923076923078	0.07499999999999998	
	
Ovarian Cystadenoma	bm25	0.0	0.0	0.0	0.0	0.46153846153846156	0.1428571428571428	
	vsm	0.0	0.0	0.0	0.1	0.15384615384615385	0.0476190476190476	
	class-match-measure	0.0	0.0	0.0	0.0	0.15384615384615385	0.0476190476190476	
	tf_idf	0.0	0.0	0.0	0.21000000000000002	0.23076923076923078	0.0714285714285714	
	boolean	0.0	0.0	0.0	0.0	0.46153846153846156	0.2857142857142856	
	zooma	1.0	1.0	1.0	0.4866666666666667	0.4615384615384615	0.4285714285714284	
