		ndcg	pak	apk	map	no gt precision	no gt recall
digestive system	bm25	0.8104616303452685	1.0	1.0	0.40562841530054644	0.7538461538461538	0.24378109452736355	
	vsm	0.8104616303452685	1.0	1.0	0.40562841530054644	0.7538461538461538	0.24378109452736355	
	class-match-measure	0.8104616303452685	1.0	1.0	0.40562841530054644	0.7538461538461538	0.24378109452736355	
	tf_idf	0.8104616303452685	1.0	1.0	0.4081967213114754	0.7538461538461538	0.24378109452736355	
	boolean	0.8104616303452685	1.0	1.0	0.4039890710382513	0.7538461538461538	0.24378109452736355	
	zooma	0.27487633291429087	0.20000000298023224	0.2	0.18377049180327865	0.8461538461538461	0.054726368159204064	
	bioportal	0.8513627366870065	0.800000011920929	0.71	0.48215846994535533	0.6615384615384616	0.2139303482587068	
	solr	0.4483039899025303	0.4000000059604645	0.4	0.46581967213114767	0.641025641025641	0.12437810945273649	
	ols	0.8308928690816114	0.6000000238418579	0.52	0.5040710382513662	0.43076923076923085	0.1393034825870649	
	semantic-similarity	0.8104616303452685	1.0	1.0	0.4075409836065574	0.7538461538461538	0.24378109452736355	
	pagerank	0.8104616303452685	1.0	1.0	0.4081967213114754	0.7538461538461538	0.24378109452736355	
	
Carcinoma	bm25	0.892210845475489	1.0	1.0	0.40562841530054644	0.8	0.25870646766169203	
	vsm	0.892210845475489	1.0	1.0	0.40562841530054644	0.8	0.25870646766169203	
	class-match-measure	0.892210845475489	1.0	1.0	0.40562841530054644	0.8	0.25870646766169203	
	tf_idf	0.892210845475489	1.0	1.0	0.4081967213114754	0.8	0.25870646766169203	
	boolean	0.892210845475489	1.0	1.0	0.4039890710382513	0.8	0.25870646766169203	
	zooma	0.0	0.0	0.0	0.18377049180327865	NaN	0.0	
	bioportal	0.7618870795651184	0.800000011920929	0.76	0.48215846994535533	0.7076923076923077	0.22885572139303528	
	solr	0.7751482523375255	0.800000011920929	0.8	0.46581967213114767	0.8076923076923077	0.20895522388059742	
	ols	0.8829374068620365	0.800000011920929	0.8	0.5040710382513662	0.7076923076923077	0.22885572139303528	
	semantic-similarity	0.892210845475489	1.0	1.0	0.4075409836065574	0.8	0.25870646766169203	
	pagerank	0.892210845475489	1.0	1.0	0.4081967213114754	0.8	0.25870646766169203	
	
Ovarian Mucinous Adenocarcinoma	bm25	1.0	1.0	1.0	0.40562841530054644	0.7692307692307692	0.16574585635359143	
	vsm	1.0	1.0	1.0	0.40562841530054644	0.7692307692307692	0.16574585635359143	
	class-match-measure	1.0	1.0	1.0	0.40562841530054644	0.7692307692307692	0.16574585635359143	
	tf_idf	1.0	1.0	1.0	0.4081967213114754	0.7692307692307692	0.16574585635359143	
	boolean	1.0	1.0	1.0	0.4039890710382513	0.7692307692307692	0.16574585635359143	
	zooma	0.0	0.0	0.0	0.18377049180327865	NaN	0.0	
	bioportal	0.9674679834891693	0.6666666865348816	0.6666666666666666	0.48215846994535533	0.6153846153846154	0.13259668508287317	
	solr	0.7328286204777911	0.6666666865348816	0.38888888888888884	0.46581967213114767	0.7692307692307692	0.11049723756906096	
	ols	0.9674679834891693	0.6666666865348816	0.6666666666666666	0.5040710382513662	0.6153846153846154	0.13259668508287317	
	semantic-similarity	1.0	1.0	1.0	0.4075409836065574	0.7692307692307692	0.16574585635359143	
	pagerank	1.0	1.0	1.0	0.4081967213114754	0.7692307692307692	0.16574585635359143	
	
compound treatment	bm25	NaN	NaN	0.0	0.40562841530054644	NaN	0.0	
	vsm	NaN	NaN	0.0	0.40562841530054644	NaN	0.0	
	class-match-measure	NaN	NaN	0.0	0.40562841530054644	NaN	0.0	
	tf_idf	NaN	NaN	0.0	0.4081967213114754	NaN	0.0	
	boolean	NaN	NaN	0.0	0.4039890710382513	NaN	0.0	
	zooma	NaN	NaN	0.0	0.18377049180327865	NaN	0.0	
	bioportal	NaN	NaN	0.0	0.48215846994535533	NaN	0.0	
	solr	NaN	NaN	0.0	0.46581967213114767	NaN	0.0	
	ols	NaN	NaN	0.0	0.5040710382513662	NaN	0.0	
	semantic-similarity	NaN	NaN	0.0	0.4075409836065574	NaN	0.0	
	pagerank	NaN	NaN	0.0	0.4081967213114754	NaN	0.0	
	
granulosa cell	bm25	0.0	0.0	0.0	0.40562841530054644	NaN	0.0	
	vsm	0.0	0.0	0.0	0.40562841530054644	NaN	0.0	
	class-match-measure	0.0	0.0	0.0	0.40562841530054644	NaN	0.0	
	tf_idf	0.0	0.0	0.0	0.4081967213114754	NaN	0.0	
	boolean	0.0	0.0	0.0	0.4039890710382513	NaN	0.0	
	zooma	0.39038004999210174	0.20000000298023224	0.25	0.18377049180327865	0.38461538461538464	0.0299401197604791	
	bioportal	0.9558295932317544	0.800000011920929	0.8875	0.48215846994535533	0.3076923076923077	0.1197604790419164	
	solr	1.0	0.800000011920929	1.0	0.46581967213114767	0.3269230769230769	0.10179640718562893	
	ols	0.9558295932317544	0.800000011920929	0.8875	0.5040710382513662	0.3076923076923077	0.1197604790419164	
	semantic-similarity	0.0	0.0	0.0	0.4075409836065574	NaN	0.0	
	pagerank	0.0	0.0	0.0	0.4081967213114754	NaN	0.0	
	
epileptic encephalopathy	bm25	1.0	1.0	1.0	0.40562841530054644	0.9230769230769231	0.07361963190184065	
	vsm	1.0	1.0	1.0	0.40562841530054644	0.9230769230769231	0.07361963190184065	
	class-match-measure	1.0	1.0	1.0	0.40562841530054644	0.9230769230769231	0.07361963190184065	
	tf_idf	1.0	1.0	1.0	0.4081967213114754	0.9230769230769231	0.07361963190184065	
	boolean	1.0	1.0	1.0	0.4039890710382513	0.9230769230769231	0.07361963190184065	
	zooma	1.0	1.0	1.0	0.18377049180327865	0.9230769230769231	0.07361963190184065	
	bioportal	1.0	1.0	1.0	0.48215846994535533	0.9230769230769231	0.07361963190184065	
	solr	1.0	1.0	1.0	0.46581967213114767	0.9230769230769231	0.07361963190184065	
	ols	1.0	1.0	1.0	0.5040710382513662	0.9230769230769231	0.07361963190184065	
	semantic-similarity	1.0	1.0	1.0	0.4075409836065574	0.9230769230769231	0.07361963190184065	
	pagerank	1.0	1.0	1.0	0.4081967213114754	0.9230769230769231	0.07361963190184065	
	
nephrotic syndrome	bm25	0.6366824387328317	0.4000000059604645	0.5	0.40562841530054644	0.8461538461538461	0.12087912087912107	
	vsm	0.6366824387328317	0.4000000059604645	0.5	0.40562841530054644	0.8461538461538461	0.12087912087912107	
	class-match-measure	0.6366824387328317	0.4000000059604645	0.5	0.40562841530054644	0.8461538461538461	0.12087912087912107	
	tf_idf	0.6366824387328317	0.4000000059604645	0.5	0.4081967213114754	0.8461538461538461	0.12087912087912107	
	boolean	0.6366824387328317	0.4000000059604645	0.5	0.4039890710382513	0.8461538461538461	0.12087912087912107	
	zooma	0.0	0.0	0.0	0.18377049180327865	0.19230769230769232	0.02747252747252752	
	bioportal	0.8318724637288826	0.6000000238418579	0.75	0.48215846994535533	0.5230769230769232	0.18681318681318715	
	solr	0.6096199500078984	0.6000000238418579	0.47916666666666663	0.46581967213114767	0.576923076923077	0.16483516483516514	
	ols	0.8318724637288826	0.6000000238418579	0.75	0.5040710382513662	0.5230769230769232	0.18681318681318715	
	semantic-similarity	0.6366824387328317	0.4000000059604645	0.5	0.4075409836065574	0.8461538461538461	0.12087912087912107	
	pagerank	0.6366824387328317	0.4000000059604645	0.5	0.4081967213114754	0.8461538461538461	0.12087912087912107	
	
body weight	bm25	0.39038004999210174	0.25	0.25	0.40562841530054644	0.8461538461538461	0.06508875739644984	
	vsm	0.39038004999210174	0.25	0.25	0.40562841530054644	0.8461538461538461	0.06508875739644984	
	class-match-measure	0.39038004999210174	0.25	0.25	0.40562841530054644	0.8461538461538461	0.06508875739644984	
	tf_idf	0.39038004999210174	0.25	0.25	0.4081967213114754	0.8461538461538461	0.06508875739644984	
	boolean	0.39038004999210174	0.25	0.25	0.4039890710382513	0.8461538461538461	0.06508875739644984	
	zooma	0.0	0.0	0.0	0.18377049180327865	0.15384615384615385	0.011834319526627245	
	bioportal	0.9047172294870753	0.75	0.6041666666666666	0.48215846994535533	0.4615384615384615	0.1065088757396452	
	solr	0.6096199500078984	0.75	0.47916666666666663	0.46581967213114767	0.5769230769230769	0.08875739644970433	
	ols	0.9558295932317544	0.75	0.6875	0.5040710382513662	0.3846153846153846	0.11834319526627243	
	semantic-similarity	0.39038004999210174	0.25	0.25	0.4075409836065574	0.8461538461538461	0.06508875739644984	
	pagerank	0.39038004999210174	0.25	0.25	0.4081967213114754	0.8461538461538461	0.06508875739644984	
	
hemoglobin e	bm25	NaN	NaN	0.0	0.40562841530054644	NaN	0.0	
	vsm	NaN	NaN	0.0	0.40562841530054644	NaN	0.0	
	class-match-measure	NaN	NaN	0.0	0.40562841530054644	NaN	0.0	
	tf_idf	NaN	NaN	0.0	0.4081967213114754	NaN	0.0	
	boolean	NaN	NaN	0.0	0.4039890710382513	NaN	0.0	
	zooma	NaN	NaN	0.0	0.18377049180327865	NaN	0.0	
	bioportal	NaN	NaN	0.0	0.48215846994535533	NaN	0.0	
	solr	NaN	NaN	0.0	0.46581967213114767	NaN	0.0	
	ols	NaN	NaN	0.0	0.5040710382513662	NaN	0.0	
	semantic-similarity	NaN	NaN	0.0	0.4075409836065574	NaN	0.0	
	pagerank	NaN	NaN	0.0	0.4081967213114754	NaN	0.0	
	
Ovary	bm25	0.9421580479927049	1.0	1.0	0.40562841530054644	0.5692307692307693	0.18316831683168347	
	vsm	0.9421580479927049	1.0	1.0	0.40562841530054644	0.5692307692307693	0.18316831683168347	
	class-match-measure	0.9421580479927049	1.0	1.0	0.40562841530054644	0.5076923076923078	0.16336633663366362	
	tf_idf	0.9421580479927049	1.0	1.0	0.4081967213114754	0.6307692307692307	0.20297029702970326	
	boolean	0.9421580479927049	1.0	1.0	0.4039890710382513	0.4	0.1287128712871289	
	zooma	0.0	0.0	0.0	0.18377049180327865	NaN	0.0	
	bioportal	0.7929115900245862	0.800000011920929	0.76	0.48215846994535533	0.6	0.19306930693069335	
	solr	0.6852596663624393	1.0	1.0	0.46581967213114767	0.6307692307692307	0.20297029702970326	
	ols	0.8113276789333004	0.800000011920929	0.6433333333333333	0.5040710382513662	0.49230769230769234	0.15841584158415867	
	semantic-similarity	0.9421580479927049	1.0	1.0	0.4075409836065574	0.6307692307692307	0.20297029702970326	
	pagerank	0.9421580479927049	1.0	1.0	0.4081967213114754	0.6307692307692307	0.20297029702970326	
	
harderian gland	bm25	0.46927872602275655	0.3333333432674408	0.3333333333333333	0.40562841530054644	0.9230769230769231	0.07017543859649136	
	vsm	0.46927872602275655	0.3333333432674408	0.3333333333333333	0.40562841530054644	0.9230769230769231	0.07017543859649136	
	class-match-measure	0.46927872602275655	0.3333333432674408	0.3333333333333333	0.40562841530054644	0.9230769230769231	0.07017543859649136	
	tf_idf	0.46927872602275655	0.3333333432674408	0.3333333333333333	0.4081967213114754	0.9230769230769231	0.07017543859649136	
	boolean	0.46927872602275655	0.3333333432674408	0.3333333333333333	0.4039890710382513	0.9230769230769231	0.07017543859649136	
	zooma	0.9674679834891693	0.6666666865348816	0.6666666666666666	0.18377049180327865	0.4358974358974359	0.09941520467836276	
	bioportal	0.9060254355346824	0.6666666865348816	0.5555555555555555	0.48215846994535533	0.4615384615384616	0.10526315789473706	
	solr	1.0	1.0	1.0	0.46581967213114767	0.4871794871794872	0.11111111111111134	
	ols	0.8854598815714875	0.6666666865348816	0.5555555555555555	0.5040710382513662	0.4871794871794872	0.11111111111111134	
	semantic-similarity	0.46927872602275655	0.3333333432674408	0.3333333333333333	0.4075409836065574	0.9230769230769231	0.07017543859649136	
	pagerank	0.46927872602275655	0.3333333432674408	0.3333333333333333	0.4081967213114754	0.9230769230769231	0.07017543859649136	
	
convulsive status epilepticus	bm25	NaN	NaN	0.0	0.40562841530054644	NaN	0.0	
	vsm	NaN	NaN	0.0	0.40562841530054644	NaN	0.0	
	class-match-measure	NaN	NaN	0.0	0.40562841530054644	NaN	0.0	
	tf_idf	NaN	NaN	0.0	0.4081967213114754	NaN	0.0	
	boolean	NaN	NaN	0.0	0.4039890710382513	NaN	0.0	
	zooma	NaN	NaN	0.0	0.18377049180327865	NaN	0.0	
	bioportal	NaN	NaN	0.0	0.48215846994535533	NaN	0.0	
	solr	NaN	NaN	0.0	0.46581967213114767	NaN	0.0	
	ols	NaN	NaN	0.0	0.5040710382513662	NaN	0.0	
	semantic-similarity	NaN	NaN	0.0	0.4075409836065574	NaN	0.0	
	pagerank	NaN	NaN	0.0	0.4081967213114754	NaN	0.0	
	
daily living	bm25	NaN	NaN	0.0	0.40562841530054644	NaN	0.0	
	vsm	NaN	NaN	0.0	0.40562841530054644	NaN	0.0	
	class-match-measure	NaN	NaN	0.0	0.40562841530054644	NaN	0.0	
	tf_idf	NaN	NaN	0.0	0.4081967213114754	NaN	0.0	
	boolean	NaN	NaN	0.0	0.4039890710382513	NaN	0.0	
	zooma	NaN	NaN	0.0	0.18377049180327865	NaN	0.0	
	bioportal	NaN	NaN	0.0	0.48215846994535533	NaN	0.0	
	solr	NaN	NaN	0.0	0.46581967213114767	NaN	0.0	
	ols	NaN	NaN	0.0	0.5040710382513662	NaN	0.0	
